condition,label,seed,seed_idx,iteration,best_fitness,best_test_accuracy,child_train_accuracy,child_test_accuracy,archive_size,meta_focus_metric,meta_weight_step,meta_threshold_step,meta_exploration_scale,mutation_source,mode
hyperagent,HyperAgent (full system),59,4,33,0.85,0.9,0.8,0.9,34,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,34,0.85,0.9,0.8,0.9,35,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,35,0.85,0.9,0.85,0.9,36,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,36,0.85,0.9,0.8,0.9,37,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,37,0.85,0.9,0.75,0.9,38,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,38,0.85,0.9,0.7,0.8,39,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,39,0.85,0.9,0.75,0.8,40,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,40,0.85,0.9,0.75,0.9,41,security,0.095,0.095,0.29,heuristic,hyperagent
baseline,Baseline (frozen meta),7,0,0,0.65,0.8,0.65,0.8,1,security,0.12,0.07,0.18,seed,baseline
baseline,Baseline (frozen meta),7,0,1,0.8,0.9,0.8,0.9,2,security,0.12,0.07,0.18,heuristic,baseline
